type,value,slug,description,parentSlug,parentType,isActive,sortOrder,metadataJson
SKILL,ICSR Processing,icsr-processing,Individual Case Safety Report processing in pharmacovigilance systems,,,true,1,
SKILL,Serious Adverse Event Reporting,sae-reporting,Identification documentation and reporting of serious adverse events in clinical trials,,,true,2,
SKILL,Adverse Drug Reaction Handling,adr-handling,Assessment documentation and reporting of adverse drug reactions,,,true,3,
SKILL,MedDRA Coding,meddra-coding,Use of Medical Dictionary for Regulatory Activities for safety data coding,,,true,4,
SKILL,WHO-UMC Causality Assessment,who-umc-causality-assessment,Causality assessment using WHO-UMC system for adverse events,,,true,5,
SKILL,ICH-GCP Compliance,ich-gcp-compliance,Understanding and application of International Council for Harmonisation Good Clinical Practice guidelines,,,true,6,
SKILL,Clinical Trial Protocol Review,protocol-review,Review and interpretation of clinical trial protocols,,,true,7,
SKILL,Clinical Trial Monitoring Basics,trial-monitoring-basics,Basic understanding of site monitoring and trial oversight procedures,,,true,8,
SKILL,Clinical Regulatory Compliance,clinical-regulatory-compliance,Ensuring clinical trial activities comply with regulatory requirements,,,true,9,
SKILL,Electronic Data Capture Systems,edc-systems,Use of electronic data capture systems for clinical trial data entry and management,,,true,10,
SKILL,Case Report Form Review,crf-review,Review and validation of case report forms in clinical research,,,true,11,
SKILL,Clinical Data Validation,data-validation,Validation of clinical trial data for accuracy completeness and consistency,,,true,12,
SKILL,Query Resolution in Clinical Data,query-resolution,Identification and resolution of data queries during clinical data management,,,true,13,
SKILL,Clinical Study Report Writing,csr-writing,Preparation of clinical study reports for regulatory submission,,,true,14,
SKILL,Clinical Protocol Writing,protocol-writing,Writing and documentation of clinical research protocols,,,true,15,
SKILL,Regulatory Medical Writing,regulatory-medical-writing,Preparation of regulatory documents and scientific reports,,,true,16,
SKILL,Clinical Narrative Writing,narrative-writing,Writing patient safety narratives for adverse event reports,,,true,17,
SKILL,Microsoft Excel for Clinical Data,ms-excel-clinical-data,Use of Excel for clinical data management including filters sorting and formulas,,,true,18,
SKILL,Microsoft Word Documentation,ms-word-documentation,Preparation and formatting of scientific and regulatory documents in MS Word,,,true,19,
SKILL,PowerPoint Scientific Presentation,powerpoint-scientific-presentation,Creating scientific and clinical presentations using PowerPoint,,,true,20,
SKILL,Good Clinical Practice,gcp,Compliance with Good Clinical Practice standards in research,,,true,21,
SKILL,Good Laboratory Practice,glp,Adherence to laboratory quality and safety standards,,,true,22,
SKILL,Current Good Manufacturing Practice,cgmp,Understanding manufacturing quality standards for pharmaceuticals,,,true,23,
SKILL,Good Pharmacovigilance Practice,gvp,Compliance with pharmacovigilance regulatory standards,,,true,24,
SKILL,ALCOA Data Integrity,alcoa-data-integrity,Application of ALCOA principles for maintaining data integrity,,,true,25,
SKILL,Scientific Literature Analysis,scientific-literature-analysis,Review and interpretation of scientific research publications,,,true,26,
SKILL,Clinical Data Entry,clinical-data-entry,Accurate entry of clinical research data into electronic systems,,,true,27,
